ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia,percentual_desmatado
2000,1200252,1703,700.6,0.0,994.2,0.0,8.1,0.0,0.1,41.13916617733412
2000,1200302,29179,1048.8,0.0,28055.5,0.0,57.0,0.4,17.3,3.5943658110284793
2000,1200328,5635,82.0,0.0,5539.7,0.0,12.8,0.1,0.4,1.4551907719609583
2000,1200336,5762,311.9,0.0,5262.2,0.0,142.8,45.1,0.0,5.413051023950017
2000,1200344,11118,142.1,0.0,10916.6,0.0,9.8,0.0,49.5,1.278107573304551
2000,1200351,8588,144.4,0.0,8352.8,0.0,90.1,0.2,0.5,1.6814159292035398
2000,1200385,1988,998.3,0.0,986.4,0.0,3.3,0.0,0.0,50.21629778672032
2000,1200393,6661,110.4,0.0,6546.0,0.0,1.6,3.0,0.0,1.6574087974778562
2000,1200401,9113,1944.9,0.0,7167.9,0.0,0.1,0.0,0.1,21.34203884560518
2000,1200427,3246,357.5,0.0,2835.8,0.0,52.0,0.7,0.0,11.013555144793592
2000,1200435,6350,37.6,0.0,6248.5,0.0,28.9,0.1,34.9,0.5921259842519685
2000,1200450,2384,1352.3,0.0,1031.7,0.0,0.0,0.0,0.0,56.7239932885906
2000,1200500,24599,1075.0,0.0,23505.2,0.0,15.8,2.4,0.6,4.370096345379894
2000,1200609,21156,1115.1,0.0,20024.3,0.0,1.9,1.1,13.6,5.270845150311968
2000,1200708,5511,986.9,0.0,4523.3,0.0,0.8,0.0,0.0,17.907820722191982
2000,1200807,2703,877.7,0.0,1822.5,0.0,2.8,0.0,0.0,32.47132815390307
2000,1300029,6027,258.3,0.0,5603.1,0.0,0.0,38.0,127.6,4.285714285714286
2000,1300060,4903,105.4,0.0,4361.6,0.0,0.0,222.4,213.6,2.1497042626963085
2000,1300086,2473,177.0,0.0,2042.4,0.0,0.0,34.6,219.0,7.157298827335221
2000,1300102,5852,69.5,0.0,4706.9,0.0,0.3,640.6,434.7,1.1876281613123718
2000,1300144,54490,955.9,0.0,52689.7,0.0,15.2,625.0,204.2,1.7542668379519177
2000,1300201,80005,196.1,0.0,79082.5,0.0,314.0,16.5,395.9,0.2451096806449597
2000,1300300,7636,980.6,0.0,5175.1,0.0,0.1,464.3,1015.9,12.84180199057098
2000,1300409,124163,146.1,0.0,102387.7,13.6,55.6,17060.1,4499.9,0.11766790428710647
2000,1300508,5760,699.1,0.0,3696.2,0.0,0.0,408.6,956.1,12.137152777777779
2000,1300607,9146,175.8,0.0,8748.8,0.0,16.6,0.0,204.8,1.922151760332386
2000,1300631,17411,181.6,0.0,15768.3,0.0,2.2,886.1,572.8,1.0430187812302567
2000,1300680,2588,182.8,0.0,1146.7,0.0,0.0,852.8,405.7,7.0633693972179294
2000,1300706,22595,1209.8,0.0,21200.9,0.0,1.9,58.4,124.0,5.354281920778933
2000,1300805,44452,465.1,0.0,41548.7,0.0,13.0,586.5,1838.7,1.046297129487987
2000,1300839,9550,203.1,0.0,8737.3,0.0,0.1,181.9,427.6,2.126701570680628
2000,1300904,30278,451.2,0.0,28536.2,0.0,5.5,988.3,296.8,1.4901908976814848
2000,1301001,26469,258.2,0.0,25791.1,0.0,7.1,12.7,399.9,0.9754807510672863
2000,1301100,6127,964.4,0.0,4758.5,0.0,6.5,80.7,316.9,15.740166476252652
2000,1301159,2641,368.4,0.0,936.6,0.0,0.2,707.8,628.0,13.949261643316923
2000,1301209,58828,711.1,0.0,54530.6,0.0,1.4,823.1,2761.8,1.2087781328619025
